,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,kaki dian,"lampu, kandil, lentera ",,"Kaki dian adalah lampu, terbuat dari logam, yang menopang satu atau lebih nyala api, dan menampung bahan bakarnya.",,GC: ,Distinguished from clay lamps and from fire pots.,,,,,,,,,,,,,,,,,,,,,,,,
t,tanah,"bumi, negeri",bumi (G);,"Tanah dapat berarti (1) tanah tempat kita berpijak, (2) tanah tempat kita menanam benih, (3) negara tempat kita tinggal, atau (4) bumi (bagian dari planet kita) yang tidak tertutup oleh air laut.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hukum Musa,hukum,perkataan Musa dahulu kala (G); instruksi dari Allah melalui Musa; Jalan Musa (W);,"Hukum Musa berisi peraturan dan petunjuk yang diturunkan Allah kepada Musa untuk bangsa Israel. Hukum Musa (1) memberitahukan apa tindakan yang menyenangkan Allah, dan (2) menunjukkan kepada kita manusia betapa berdosanya kita. Hukum Musa itu baik, tetapi hanya iman kepada Allah yang dapat menyelamatkan kita dari neraka. (Umat Kristen hidup dengan mematuhi perintah Yesus (yang utama adalah percaya kepada-Nya), bukan dengan mematuhi Hukum Musa.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,pemimpin,Pemimpin-pemimpin,orang yang membimbing Anda (G); ketua (U),"Seorang pemimpin adalah seseorang yang menunjukkan jalan yang harus dilalui orang lain. Seorang pemimpin yang memiliki kuasa yang besar disebut raja atau kaisar. Kepala, gubernur, dan penatua juga berkuasa tapi tidak sebesar kekuasaan raja atau kaisar. Kepala keluarga adalah pemimpin keluarga.","raja, gubernur, tua-tua",other language: head man (urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,kusta,"orang kusta, orang-orang kusta",lepra (R),"Kusta adalah penyakit kulit yang parah. Orang yang menderita penyakit kusta disebut orang kusta. Mereka yang menderita penyakit ini pada zaman Alkitab diharuskan hidup terpisah dari orang lain. (Meskipun orang sehat tidak mau menyentuh penderita kusta, Yesus menyentuh penderita kusta ketika dia menyembuhkan mereka.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Lewi,"orang Lewi, orang-orang Lewi",dari suku Lewi (R); dari suku Liwai (K),"Lewi adalah salah satu dari dua belas putra Yakub. Dia adalah nenek moyang suku Israel yang disebut Lewi. Di Israel, hanya orang Lewi yang diizinkan melayani sebagai imam dan pekerja di Bait Allah di Yerusalem. Harun adalah seorang Lewi. Matius, yang menulis salah satu kitab Injil, juga disebut Lewi. (Imam besar orang Kristen adalah Yesus yang berasal dari suku Yehuda.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,singa,Singa-singa ,laion (K); kucing besar / jaguar (G); simba (W);,"Singa adalah kucing yang sangat besar, kuat, dan berani yang membunuh dan memakan hewan besar lainnya... (Mereka bergigi tajam dan punya cakar panjang.) (Singa berbahaya dan dapat membunuh manusia.) (Raja sering disamakan dengan singa.) (Yesus disebut Singa dari Suku Yehuda.)",,jaguar and simba not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
t,ternak,,,"Ternak adalah hewan peliharaan (bukan liar) seperti kambing, sapi, unta, keledai, domba dll) yang dipelihara oleh orang-orang di dekat rumah mereka untuk dimakan.","kawanan, gembala",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Belalang-belalang,belalang,,Belalang adalah serangga terbang yang dapat datang berkelompok dan merusak tanaman. Beberapa orang makan belalang untuk makanan.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Tuhan ,,Allah Yang Maha Tinggi; Orang besar/Hebat; pemilik/bos semua orang (G); orang kaya dan penting (R); besar (K); Pemilik (W);,Tuhan berarti (1) Satu-satunya Allah Pencipta; (2) roh yang menguasai roh lain; dan (3) gelar kehormatan seperti Tuan.,Allah,,"Of course, in English LORD translates the Hebrew YHWH, which the LXX translated as kurios, lord, without a definite article. Hence the practice of substituting LORD for Yahweh, and of referring to Jesus as Lord. Lord also translates the Hebrew Adonai (My Lords) used only of God.",,,,,,,,,,,,,,,,,,,,,,,,
t,Tuhan ,,Allah Yang Maha Tinggi; Orang besar/Hebat; pemilik/bos semua orang (G); orang kaya dan penting (R); besar (K); Pemilik (W);,Tuhan berarti (1) Satu-satunya Allah Pencipta; (2) roh yang menguasai roh lain; dan (3) gelar kehormatan seperti Tuan.,Allah,,"Of course, in English LORD translates the Hebrew YHWH, which the LXX translated as kurios, lord, without a definite article. Hence the practice of substituting LORD for Yahweh, and of referring to Jesus as Lord. Lord also translates the Hebrew Adonai (My Lords) used only of God.",,,,,,,,,,,,,,,,,,,,,,,,
n,Lot,,,"Lot adalah keponakan Abraham (anak saudara laki-lakinya). Lot tinggal di dekat Abraham. Tetapi ketika kedua pria itu sudah memiliki banyak ternak, mereka berpisah. Abraham memilih untuk tinggal di kemah, sedangkan Lot pergi dan tinggal di kota Sodom yang jahat. (Lot menjadi nenek moyang orang Moab dan orang Amon, musuh orang Israel.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Lot,,,"Lot adalah keponakan Abraham (anak saudara laki-lakinya). Lot tinggal di dekat Abraham. Tetapi ketika kedua pria itu sudah memiliki banyak ternak, mereka berpisah. Abraham memilih untuk tinggal di kemah, sedangkan Lot pergi dan tinggal di kota Sodom yang jahat. (Lot menjadi nenek moyang orang Moab dan orang Amon, musuh orang Israel.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,kasih,"cinta, mencintai, mengasihi, dikasihi, cintailah",ingin (W);,"Kasih berarti kita berusaha memperlakukan orang lain dengan cara yang kita inginkan mereka memperlakukan kita. Allah mengasihi kita dengan mengutus Yesus untuk menyelamatkan kita. Kita saling mengasihi dengan memenuhi kebutuhan nyata, dan dengan berusaha untuk tidak menyinggung perasaan orang lain. Alkitab mengatakan bahwa jenis kasih yang terbaik adalah dengan senang hati menyangkal diri sendiri untuk membantu seorang teman.","baik, rahmat, kasih karunia",,other lg example weard: want (W)???. E.g. better to say like a lot.,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,
t,Orang-orang majus,,pengamat langit (W); pria yang mengetahui bintang (G); pria yang mempelajari bintang-bintang; penguasa pengetahuan (W);,"Orang-orang bijaksana di Timur yang mempelajari langit dan bintang-bintang, untuk membedakan tanda atau pesan dari Allah.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Manasye,,,Manasye adalah anak sulung dari dua putra Yusuf. Manasye menjadi nenek moyang sebuah suku Israel. (Nama Manasye berarti Melupakan.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,manna,,"maanaa (R);
Makanan yang jatuh dari langit (G); 
","Manna adalah makanan yang Allah berikan kepada bangsa Israel selama 40 tahun pengembaraan mereka antara Mesir dan Kanaan. Dalam bahasa Ibrani, manna berarti ""apa itu?"". Manna itu seperti roti manis tanpa ragi. Setiap pagi, kecuali hari Sabat, orang Israel akan mengumpulkan manna dari tanah di sekitar perkemahan mereka. (Manna memiliki rasa yang enak, tetapi cepat busuk.)",roti,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Markus,,,"Markus adalah nama Romawi yang umum. Seorang pemuda Yahudi bernama Yohanes Markus, yang telah mengenal Yesus, menulis Injil Markus.",,"This is not essential:  failed as a Christian missionary -  rather he quarreled with Paul, but is that necessary to mention here? (Hilkka)",GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Maria,,,"Nama Maria bisa berarti Diinginkan atau Pahit. Dalam Perjanjian Baru Alkitab, beberapa wanita bernama Maria, termasuk ibu Yesus dan seorang murid Yesus dari Magdala. Saudari Lazarus dan Marta dari Betania juga disebut Maria.",,," Several different women named Mary are mentioned in the New Testament: (1) Mary the mother of Jesus. (2) Mary of Magdala. Jesus drove seven evil spirits from her, and she became one of his followers (Matthew 27:55–56; Mark 16:9; Luke 8:2; John 20:1–2; 11–18, and other passages). (3) Mary of Bethany, the sister of Martha and Lazarus. She sat at the feet of Jesus and listened to his teaching (Luke 10:38–42; John 11:1–5; 12:1–7). (4) Mary the mother of James and Joseph. This Mary may be the same person as Mary the wife of Cleopas, but this is not certain (Matthew 27:56; Mark 15:40; 16:1; Luke 24:10). (5)Mary the mother of John Mark. This Mary had a house in Jerusalem where the disciples of Jesus used to meet (Acts 12:12).",,,,,,,,,,,,,,,,,,,,,,,,
n,Matius,,,"Matius, juga dikenal sebagai Lewi, adalah seorang pemungut cukai yang terpelajar ketika Yesus memanggilnya untuk menjadi muridnya. Matius menulis buku Injil tentang kehidupan Yesus.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Media,"orang Media, orang-orang Media",,"Media adalah suku Iran. Pada abad ke-7 SM, mereka mendirikan sebuah kerajaan bernama Media yang bersekutu dengan bangsa Persia untuk menyerang Babel. Raja Darius adalah seorang Media.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Melkisedek,,,"Melkisedek artinya Rajaku Adil. Dia adalah raja Salem, dan seorang imam yang melayani Allah Yang Mahatinggi. Dia pernah memberkati Abraham dan kemudian Abraham memberikannya hadiah (sepersepuluh, atau persepuluhan). Karena Melkisedek memang berasal dari keluarga imam, dia adalah imam seperti Yesus yang tidak berasal dari suku imam Lewi (namun keduanya menjadi imam yang sah karena ketaatan mereka kepada Allah Yang Mahatinggi.)",,,"""Without geneology."" Geneology was a requirement for Levitical priests. Netither Melchizedek nor Jesus had preiestly credentials, yet both became legitimate priests by virtue of their obedience to the Most High God.",,,,,,,,,,,,,,,,,,,,,,,,
n,Mefiboset,,,"Mefiboset adalah putra Yonatan. Kakinya patah ketika dia masih kecil. Setelah Daud menjadi raja, dia menunjukkan banyak kebaikan kepada Mefiboset.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,belas kasihan,"rahmat, kasihan",kasih/kasihan (R),Belas kasihan adalah kebaikan yang ditunjukkan kepada pelanggar hukum atau musuh. Allah menunjukkan belas kasihan saat dia menyediakan apa yang dibutuhkan ciptaannya. Yesus menunjukkan belas kasihan dengan menyembuhkan orang sakit dan membangkitkan orang mati.,"kasih, kasih karunia, kemurahan hati",Mercy is compassion shown to enemies or offenders. (I don't think it needs to meet material needs/HiA). (Hilkka),"GC: Do you want to contrast with grace?
RR: users can look up grace and get the contrast.",,,,,,,,,,,,,,,,,,,,,,,,
t,Mesias,Kristus,"Raja (yang) dijanjikan Allah untuk diutus;
Kepala Kami yang Sangat Penting (G); orang yang ditunjuk (U);
Al-Masih (W); Kaarisito (R); Mesaia (K)
","Kata Ibrani Mesias, dan kata Yunani Kristus, berarti Diurapi. Di Perjanjian Lama Alkitab, seorang raja disebut 'diurapi', setelah seorang nabi menuangkan minyak ke atas kepalanya. Di Perjanjian Baru Alkitab, Yesus disebut Kristus, Mesias, dan Yang Diurapi Allah.","raja, Anak Allah",other language: the appointed man (urt).; These are not helful in PNG: Al-Masih (W); Kaarisito (R,,,,,,,,,,,,,,,,,,,,,,,,,
n,Mikhal,,,"Mikhal adalah putri Raja Saul. Dia mencintai Daud.  Mereka menikah saat Daud masih melayani Raja Saul. Bertahun-tahun kemudian, Mikhal menegur Daud setelah dia menari di jalanan Yerusalem untuk memuji Allah. Mikhal tidak melahirkan anak.",,,GC 25-Apr-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Midian,"orang Midian, orang-orang Midian",,"Midian adalah anak keempat dari istri kedua Abraham, Ketura. Negeri Midian berada di Arab barat laut, tempat Musa melarikan diri dari Mesir. Orang-orang dari Midian disebut orang Midian. Mereka akan menyerang dan merampok Israel pada masa para Hakim. Allah memampukan Gideon untuk mengalahkan orang Midian yang menyerang Israel.",,,"GC 08-Feb-19

Gideon did not go conquer Midia.","


",,,,,,,,,,,,,,,,,,,,,,,
t,mukjizat,"mukjizat-mukjizat, keajaiban, keajaiban-keajaiban",sesuatu yang membuat orang terkejut (G);,"Mukjizat adalah segala sesuatu yang hanya dapat dilakukan oleh Allah. Yesus melakukan mukjizat untuk menunjukkan bahwa dia adalah Allah, dan para rasulnya dapat melakukan mukjizat untuk menunjukkan bahwa mereka adalah utusan dari Allah. Mukjizat juga disebut tanda dan keajaiban. Keajaiban bukanlah sihir atau trik atau penipuan.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Miryam,,,Miryam adalah saudara perempuan Musa dan Harun. Dia adalah seorang nabiah yang mengajarkan nyanyian kepada orang Israel.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Moab,"orang Moab, orang-orang Moab",,"Moab adalah anak Lot yang adalah keponakan Abraham. Keturunan Moab adalah orang Moab, yang tinggal di negeri Moab, di sebelah tenggara Israel di seberang Sungai Yordan. Orang Moab menyembah dewa Molokh dengan mengorbankan anak-anak mereka. Rut adalah seorang Moab yang menjadi nenek moyang Raja Daud dan Yesus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Molokh,,,"Molokh adalah roh jahat dan dewa atau berhala yang disembah oleh beberapa orang kafir. Di beberapa negara, para penyembah Molokh mengorbankan anak mereka sendiri kepadanya. Beberapa orang Israel di Yerusalem membuat Tuhan sangat marah ketika mereka mengorbankan anak-anak mereka kepada Molokh. (Nama Molokh berarti Raja maut.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Mordekhai,,,Mordekhai adalah seorang Yahudi buangan yang bekerja di istana raja Persia Ahasyweros. Dia membesarkan sepupu yatim piatu Ester yang menjadi ratu Ahasyweros. Ahasyweros memberi Mordekhai hadiah atas pelayanannya yang setia.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Musa,,,"Musa hidup sekitar 1450 tahun sebelum Yesus. Ia lahir dari keluarga budak Ibrani di Mesir, tetapi diadopsi oleh seorang putri Mesir. Musa meninggalkan Mesir pada usia 40 tahun, tetapi Allah mengutusnya kembali ke Mesir pada usia 80 tahun, untuk memimpin orang Ibrani ke Kanaan. Allah mengungkapkan Hukumnya kepada Musa (yang menulis buku-buku pertama Perjanjian Lama).",,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,sesawi,,mastad (K),"Sesawi adalah sejenis tanaman rempah yang memiliki biji kecil yang tumbuh menjadi tanaman besar. Yesus berkata, ""Jika kamu memiliki iman sebesar biji sesawi, kamu dapat memindahkan gunung.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,mur,,bahan pewangi yang lengket disebut mira (R); getah pohon yang berbau harum disebut mira (K); getah yang berbau (W),Mur adalah getah atau resin pohon tertentu yang mahal dan berbau harum. Orang Yahudi menggunakan mur sebagai obat untuk membuat seseorang mengantuk sehingga dia tidak merasa sakit. Mereka juga mengoleskan mur pada mayat untuk dikuburkan.,kemenyan,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Naaman,,,"Naaman hidup sekitar 800 tahun sebelum Yesus di negara Siria. Dia adalah seorang komandan tentara yang menyembah berhala (bukan seorang Yahudi), dan dia menderita penyakit kulit. Nabi Elisa menyuruhnya pergi mandi di sungai Yordan. Naaman patuh dan disembuhkan. Lalu dia menjadi orang yang percaya kepada Allah Israel. (Yesus memberitahu orang Yahudi bahwa Allah menerima Naaman yang tidak mematuhi Hukum Musa.) (Nama Naaman berarti Menyenangkan.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Naomi,,,"Naomi adalah seorang wanita Israel yang pindah bersama suaminya ke negeri Moab, lalu kembali ke Israel setelah kematian suami dan putranya.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,narwastu,,parfum disebut naad (R); cairan berbau wangi yang disebut nad (K);,Narwastu adalah parfum berminyak yang terbuat dari getah tanaman yang disebut akar wangi. Seorang wanita pernah membeli narwastu dan mengurapi kaki Yesus dengan itu.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n ,Natan,,,Ada beberapa pria bernama Natan. Nabi Natan sering membawa pesan dari Tuhan kepada raja Daud. Daud menamai salah satu anaknya Natan. (nama Natan berarti Dia Memberi),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Natanael,,,Ada beberapa pria dalam Alkitab yang bernama Natanael. Natanael adalah salah satu murid pertama Yesus. (Nama Natanael berarti Allah memberi),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,bangsa,Bangsa-bangsa,"rakyat (G); kerajaan (W);
",Sebuah bangsa terdiri dari banyak orang yang setuju untuk mengikuti pemerintah mereka. Sebuah kerajaan adalah negara yang diperintah oleh seorang raja. Sebuah kekaisaran terdiri dari beberapa negara yang diperintah oleh satu penguasa tertinggi.,"negeri, kekaisaran, kerajaan",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Nazaret,,,Nazaret adalah sebuah kampung di provinsi Galilea yang terletak ke arah utara Yehuda. Yusuf membawa Maria dan Yesus untuk tinggal di Nazaret setelah mereka kembali dari Mesir.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Nebukadnezar,,,"Nebukadnezar adalah seorang raja Babel dari tahun 605 sampai 562 SM. Dia menyembah berhala. Nebukadnezar mengasingkan orang Israel di Babel, dan kemudian percaya kepada Allah Israel. (Nama Nebukadnezar berarti Semoga Nabu melindungi anakku.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Nehemia,,,Nehemia adalah seorang pejabat tinggi Yahudi di kerajaan Persia. Raja Artahsasta mengirim Nehemia ke Yehuda sekitar tahun 445 SM untuk membangun kembali Yerusalem. (Nama Nehemia berarti Tuhan menghibur.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Sungai Nil,Nil,,Sungai Nil mengalir ke utara melalui seluruh wilayah Mesir dan menyediakan sebagian besar air di wilayah tersebut. Orang Mesir menganggap sungai Nil sebagai sumber kehidupan yang suci. Allah memberi Musa kekuasaan untuk mengubah air di sungai Nil menjadi darah. (Sumber sungai Nil terletak di danau Victoria di Uganda.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Niniwe,"orang Niniwe, orang-orang Niniwe",,"Niniwe adalah kota kafir yang besar di tanah Asyur. (Pada zaman itu, tentara Asyur menyiksa tawanan mereka sampai mati.) Sekitar 800 tahun sebelum Kristus, Allah mengutus nabi Yunus untuk memperingatkan orang Niniwe bahwa dia akan menghancurkan mereka. Ketika mereka mendengar pesan Yunus, mereka menangis dan bertobat. Oleh karena itu, Allah mengampuni mereka dan tidak menghancurkan mereka pada saat itu. (Ketika mereka bertobat, Yunus merasa sedih, karena dia ingin Tuhan menghancurkan Niniwe.)
Kitab kecil Nahum bercerita tentang kapan Allah kemudian menghancurkan Niniwe.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Nuh,,,"Nama Nuh berarti istirahat atau kenyamanan. Pada masa hidup Nuh, manusia melakukan banyak kejahatan, sehingga Allah memerintahkan Nuh untuk membangun sebuah perahu yang sangat besar. 120 tahun kemudian, Allah membawa sepasang semua jenis binatang dan keluarga Nuh ke dalam perahu itu. Allah kemudian menyebabkan banjir menutupi daratan. Banjir itu membunuh semua manusia dan hewan, kecuali yang diselamatkan melalui perahu besar itu. (Jadi, setiap orang yang hidup hari ini adalah keturunan Nuh dan anak-anaknya.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,sumpah,"Sumpah-sumpah, bersumpah, bernazar, nazar, nazar-nazar","janji (R);
untuk benar-benar menyatakan apa yang akan dilakukan (G);
Ikatan perkataan (U);",Sumpah adalah janji yang sungguh-sungguh yang dibuat di hadapan Allah dan para saksi.,"perjanjian, janji, kutuk",other lg: bind talk (urt),,,,,,,,,,,,,,,,,,,,,,,,,
n,Obed-Edom,,,"Raja Daud pernah menyimpan tabut perjanjian di rumah Obed-Edom, dan Tuhan membuat Obed-Edom makmur. Setelah Daud membawa tabut perjanjian ke Yerusalem, dia menjadikan Obed-Edom sebagai penjaga gerbang di sana. (Nama Obed-Edom berarti Hamba Edom.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,zaitun,"zaitun-zaitun, minyak zaitun",Pohon oliwa (R),"Zaitun adalah sejenis pohon penghasil buah. Manusia makan buah zaitun. Mereka juga memerasnya untuk membuat minyak goreng dan obat-obatan. Minyak zaitun berasal dari buah yang dihancurkan dari pohon zaitun. Minyak zaitun digunakan untuk membuat makanan, dan dioleskan pada luka sebagai obat. Para nabi mengurapi imam dan raja baru dengan menuangkan minyak zaitun ke kepala mereka. Bukit Zaitun juga merupakan nama sebuah bukit di dekat Yerusalem. Yesus sering pergi ke sana. Bukit itu memiliki taman / kebun pohon zaitun di atasnya.",,,"The Mt of Olives is also called Har-Mokhed, which transliterates into Greek as Armageddon, and has nothing to do with the Mageddo Plains.",,,,,,,,,,,,,,,,,,,,,,,,
t,Omega,zet,Omegaa (R); yang menyelesaikan; ,"Omega adalah nama huruf terakhir dari alfabet Yunani. Omega adalah huruf ‘O’ Besar di alfabet Indonesia. Kitab Wahyu menyebut Yesus sebagai Alfa dan Omega, Awal dan Akhir, (yaitu, Pencipta dan Penebus).",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Orpa,,,"Orpa adalah seorang wanita Moab. Dia menikah dengan salah satu putra Naomi. Setelah putra Naomi itu meninggal, Orpa menjadi janda.",Rut,,,,,,,,,,,,,,,,,,,,,,,,,,
t,istana,Istana-istana ,rumah besar kepala suku (G);,Istana adalah rumah raja yang sangat besar.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Firdaus,,Tempat berkumpulnya Allah (W); Paradais (k); tempat kediaman Allah (G); ),"Firdaus adalah kata Yunani yang berarti ""taman yang indah"". (Orang-orang kafir menggunakan nama ini untuk tempat tinggal dewa-dewa mereka.) Dalam Perjanjian Baru, Firdaus bisa berarti (1) tempat di surga yang didiami orang-orang percaya yang telah meninggal (mati), dan (2) bumi-surga baru di masa depan, tempat orang-orang percaya akan tinggal dan berdiam selamanya.",Eden,"refers to Allah/islam, Aajana not helpful in PNG (Hilkka)","Paradise is not used in the Bible to refer to Eden, does it?",,,,,,,,,,,,,,,,,,,,,,,,
n,Paulus,,,"Saulus adalah seorang Yahudi yang menyakiti orang Kristen dengan kejam. Setelah Yesus menampakkan diri kepada Saulus, ia menjadi seorang rasul yang menyebut dirinya Paulus. Paulus banyak menderita saat melayani Yesus dengan memberitakan Kabar Baik dan memulai banyak gereja baru. Paulus menulis sepuluh surat yang sekarang menjadi bagian dari Perjanjian Baru dari Kitab Suci. (Nama Paulus berarti Kecil.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Mutiara,,batu berharga di dalam kulit kerang (R); batu yang sangat bagus yang disebut per (G);,Mutiara adalah jenis permata mahal yang berasal dari laut. (Mutiara dibuat oleh kerang yang  mengeluarkan cairan putih seperti susu berkali-kali untuk menutupi pasir yang masuk dan mengganggu kerang itu. Mutiara berbentuk bulat dan berkilau dan digunakan untuk membuat kalung dan perhiasan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Persia,"orang Persia, orang-orang Persia",,"Orang-orang Persia adalah suku Iran. Pada abad ke-6 SM, mereka bersekutu dengan Media dan menaklukkan Babel. Kekaisaran Persia menguasai sebagian besar dunia selama 100-an tahun.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Petrus,Kefas,,"Simon adalah seorang nelayan yang juga disebut Kefas. Ketika Yesus memanggil Simon untuk menjadi murid, Yesus mengubah nama Simon menjadi Petrus. Petrus adalah salah satu dari dua belas rasul Yesus. Yesus memilih Petrus menjadi orang pertama yang memberitakan Kabar Baik kepada orang Yahudi setelah Yesus mati dan bangkit, dan dia menjadi orang pertama yang memberitakan Kabar Baik kepada orang yang bukan Yahudi. Petrus menulis dua surat yang ada di dalam Perjanjian Baru Alkitab. (Nama Petrus berarti Batu.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Firaun,Firaun-firaun,Pero (di Mesir) (K); raja Mesir; kepala orang Mesir (U),Firaun adalah nama yang diberikan orang Mesir kuno kepada raja mereka. Setiap Firaun juga memiliki nama pribadi. Firaun-firaun yang kaya membangun kuburan besar untuk diri mereka sendiri.,raja,head man of Egypt (urt),,,,,,,,,,,,,,,,,,,,,,,,,
n,Farisi,"orang Farisi, orang-orang Farisi","Pemimpin agama Yahudi;
Farasi;
","Orang Farisi adalah pemimpin dan guru agama Yahudi yang berusaha mematuhi Hukum Musa dengan menaati banyak peraturan. Mereka mencemooh orang Yahudi lain yang tidak ketat dalam mematuhi aturan tersebut. Yesus sering menyebut mereka munafik, karena mereka sering berbuat dosa tetapi tidak mau mengakuinya. (Banyak orang Farisi menentang Yesus dan para rasulnya, terkadang menangkap atau membunuh orang Kristen.)","Saduki, pemimpin agama Yahudi",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Filipus,,,"Ada beberapa pria yang bernama Filipus. Salah satunya adalah pemimpin politik. Yang lainnya adalah salah satu murid pertama Yesus, yang juga menjadi salah satu dari dua belas rasul Yesus. Yang lainnya adalah salah satu orang yang dipilih para rasul untuk malayani dalam pembagian makanan kepada janda-janda di Yerusalem. Filipus ini memimpin banyak orang Samaria dan seorang pejabat Etiopia kepada Yesus.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Filistin,"orang Filistin, orang-orang Filistin, Filistea",,Orang Filistin adalah suku yang tidak menyembah Allah. Mereka tinggal di Israel bagian selatan. Mereka sering berperang melawan orang Israel. Simson mencintai seorang wanita Filistin bernama Delila.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Babi,Babi-babi,,Babi adalah hewan pendek dan kuat yang memakan hampir semua hal dan suka berguling-guling di lumpur untuk menjaga kelembapan kulitnya. Hukum Allah melarang Israel makan daging babi.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Pilatus,,,"Pilatus adalah gubernur Romawi yang memerintah atas Yudea pada masa pelayanan Yesus. Ketika para pemimpin Yahudi menangkap Yesus, Pilatus setuju untuk menyalibkan Yesus, meskipun dia tahu bahwa itu salah karena Yesus tidak bersalah.",,,At least two inscriptions have been uncovered that contain Pilat's name.,,,,,,,,,,,,,,,,,,,,,,,,
t,Tulah,Tulah-tulah,,Tulah adalah penyakit apa saja yang berdampak merusak pada banyak orang pada saat yang bersamaan.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Kolam,,air (G); ,Kolam biasanya adalah lubang buatan manusia berisi air untuk mandi.,,not helpful in PNG: ; pisin (W from Fr),,,,,,,,,,,,,,,,,,,,,,,,,
t,Serambi,,tempat di dekat pintu (G); ,Serambi adalah sebuah platform di luar rumah dan di dekat pintu.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Potifar,,,Potifar adalah nama seorang pejabat di Mesir. Dia membeli Yusuf sebagai budak dan kemudian memenjarakannya. ,,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Memuji,"dipuji, puji, pujilah, pujian, puji-pujian",mengatakan hal-hal baik tentang (G); membesarkan (W),Memuji berarti memberitahu orang lain bagaimana seseorang telah melakukan perbuatan baik. Salah satu cara kita memuji Allah yaitu dengan menceritakan bagaimana Dia telah menjawab doa-doa kita. Umat Kristen sering memuji Allah dengan lagu dan musik untuk menceritakan betapa hebatnya Dia.,"bersyukur, memuliakan",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
