, term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,
t,,,"first; beginning (P);
Alpa (K)","अल्फ़ा यूनानी वर्णमाला का पहला अक्षर है। यह ""ए"" की तरह दिखता है. प्रकाशितवाक्य की पुस्तक यीशु को अल्फ़ा कहती है, क्योंकि वह ईश्वर है जिसने सब कुछ अच्छा बनाया (जिसने सबसे पहले शुरुआत की)।",ओमेगा,
t,वेदी,"वेदियां,बलिवेदी","sacrifice table/platform;
slicing place;
place for offering (something);
platform of cooking gift/offering (R); 
where sacrifices are made (P, W);","वेदी पत्थरों या धातु से बनी एक मेज या खुरदुरा मंच है, जिस पर लोग परमेश्वर को बलि चढ़ाते हैं। परमेश्वर ने इस्राएल को अपने पूजा तम्बू में और बाद में, यरूशलेम में अपने मंदिर में एक वेदी बनाने का आदेश दिया ।","कुर्बानी देना,
पूजा करना,बलिदान,
आराधना",
t,आमीन ,,"amin; may it be (P, W);
it is true!;
aamen (R)","आमीन एक इब्रानी  शब्द है जिसका अर्थ है हां, यह सच है, मैं इस पर विश्वास करता हूं, या ऐसा ही हो",,
t,स्वर्गदूत,"देवदूत,फरिश्ता,फ़रिश्ते,परी,स्वर्गदूतों,","spirit messenger obedient to God (whom God sent);
leg/messenger person from God/above/heaven;
one from God's living place (G);
ensel (K); God's helper (P); malaka (W from arabic)","स्वर्गदूत एक यूनानी शब्द है जिसका मतलब संदेशवाहक होता है। जब ईश्वर मनुष्यों के लिए संदेश भेजने का रहता है तो वह किसी आत्मा के द्वारा भेजता है, तो वह आत्मा एक इंसान प्रतीत हो सकता है और एक मानवीय भाषा बोल सकता है । दुष्ट आत्माएँ कभी-कभी स्वर्गदूतों के रूप में प्रकट होती हैं। यूनानी में स्वर्गदूत शब्द किसी नौकरी या काम या भूमिका का वर्णन करता है, न कि किसी प्रकार के प्राणी का । ",,
t,अभिषेक,"अभिषेक करना, अभिषिक्त,राज तिलक करना","to pour olive oil on one to make him king, chief, true chief (G);
","अभिषेक का अर्थ है सार्वजनिक रूप से किसी पर तेल छिड़क कर उसे नियुक्त करना, चुनना या नामित करना",,
t,प्रेरित ,,"sent one/person;
one that Christ sends (G);
runner (W);
person for sending from a place (person sent on a mission) (D);
Christian leader chosen by God;
first Christian leaders; 
aapostolo (R)",प्रेरित एक यूनानी शब्द है जिसका अर्थ है 'अधिकार के साथ भेजा गया'। परमेश्वर ने यीशु को अपने प्रेरित के रूप में संसार में भेजा। यीशु ने 12 प्रेरितों को चुना जिन्हें उसने दूसरों को उसके बारे में बताने के लिए भेजा। कलीसियाओं ने भी नए कलीसियाएँ शुरू करने के लिए प्रेरित कहे जाने वाले पुरुषों और स्त्रियों को भेजा।,,
t,एरियोपैगस,,"place of meeting which is called Areoopagus (K);
meeting place called Areopugas (P);","एरियोपैगस, ग्रीस के एथेंस में एक पहाड़ी का नाम है। शिक्षक और नगर के नेता उस पहाड़ी पर इकट्ठा होते थे। उनकी सभा को एरियोपैगस भी कहा जाता था।",,
t,वाचा का सन्दूक ,वाचा का सन्दूक ,"box of agreement (W);
box of agreement (tying) (R);
box for covenant/promise;
covenant box; 
sacred chest; the box in which the first writing of the power was kept (P);","वाचा का सन्दूक सोने से मढ़ा एक लकड़ी का बक्सा या संदूक था। इसके अंदर पत्थर की पटियाएँ थीं, जिन पर परमेश्वर ने इस्राएल के साथ वाचा या समझौता करते समय अपनी दस आज्ञाएँ लिखी थीं।",,
t,,,"gathering together of (G);
","जहाँ कहीं भी मसीह लोग यीशु का सम्मान करने और एक दूसरे के प्रति प्रेम दिखाने के लिए एकत्र होते हैं, वे एक अस्थायी सभा या एक स्थायी सभा बनाते हैं।",,
t,,,,,,
t,,,,,,
t,बपतिस्मा देना,"बपतिस्मा,  बपतिस्मा लिया , बपतिस्मा देना,बपतिस्मा लेना ,बपतिस्मा देनेवाला ","to pass (a person) under/through water (D);
dip in water (W);
(to symbolize death to an old life and the start of a new life);
initiate / initiation;
cause to have oneself bathed (becoming followers of Jesus the True Chief)(G);
baptais (K);",बपतिस्मा एक यूनानी शब्द है जिसका अर्थ है पानी से नहाना या पानी में डुबकी लगाना। यहूदी और कुछ अन्यजाति अपनी उपासना के एक भाग के रूप में बपतिस्मा देते हैं। यूहन्ना ने उन यहूदियों को बपतिस्मा दिया जो मसीहा के आगमन की प्रतीक्षा कर रहे थे। यीशु ने अपने प्रेरितों को बपतिस्मा देकर और उन्हें सिखाकर शिष्य बनाने का आदेश दिया। ईसाई उन लोगों को बपतिस्मा देते हैं जो यीशु पर भरोसा रखते हैं।,,
t,जौ,,"grain;
baali (R)","जौ गेहूँ जैसा ही एक अनाज है। गरीब लोग जौ से रोटी बनाते थे, क्योंकि जौ गेहूँ से सस्ता पड़ता था।",,
t,भालू ,,wild animals … bea (R),"भालू एक बहुत बड़ा, मज़बूत और बालों वाला जानवर है जो जंगलों में रहता है। भालू खतरनाक होते हैं, उनके नुकीले दांत और लंबे पंजे होते हैं, वे पेड़ों पर चढ़ सकते हैं और लोगों को मार सकते हैं। भालू लगभग कुछ भी खा सकते हैं। जब एक वयस्क भालू दो पैरों पर खड़ा होता है, तो वह एक आदमी से लंबा होता है।",,
t,बीयर,,"fermented maioc juice, any drink that causes drunkenness (G);
",पके हुए अनाज से बना एक पेय जिसमें थोड़ी मात्रा में अल्कोहल होता है।,,
t,बुद्धि,बुद्धिमान,"intelligence from God;
thinking the same about things that God does (G);
knowledge/wisdom (R); 
the knowing well of things (G);
","बुद्धि का अर्थ है सत्य और उचित बातों को जानना और उन पर अमल करना। परमेश्वर सर्वज्ञ है और जो कोई उससे विश्वास के साथ बुद्धि माँगता है, उसे वह बुद्धि देता है। (बुद्धि, यीशु के लिए एक मसीह नाम भी है।)",,
t,बाइबल ,,"the Word of God (G); Paper of God (W)
","बाइबल का अर्थ है पुस्तकों का एक पुस्तकालय, या कई पुस्तकें (एक साथ रखी हुई)। पवित्र बाइबल में पुराने और नए नियम की पुस्तकें हैं, जिन्हें कई हज़ार वर्षों की अवधि में कई अलग-अलग लोगों ने लिखा है, लेकिन सभी परमेश्वर की आत्मा द्वारा प्रेरित होकर सुसंगत रूप से लिखी गई हैं।",,
t,आशीर्वाद देना ,आशीर्वाद ,"(1) calling God's good onto (someone);
(2) coming/falling on (coming to someone's aid/help/support or showing grace to someone);
speak well / to say good things about (G); cause-blessed/fortunate (R); barke (W from Arabic)","आशीर्वाद देने का अर्थ है (1) दूसरों से अच्छे शब्द कहना, (2) उनके लिए अच्छा होने की कामना करना, (3) उनके साथ अच्छा व्यवहार करना, या (4) उन्हें अच्छी चीज़ें देना। परममेश्वर  हमें आशीर्वाद देते हैं, और हम दूसरों को आशीर्वाद देते हैं।",,
t,लहू ,,"blood (G);
","लहू का शाब्दिक अर्थ हो सकता है, लेकिन अक्सर इसका लाक्षणिक या विस्तृत अर्थ भी होता है। लहू का अर्थ हो सकता है (क) जीवित शरीरों में लाल रंग का तरल पदार्थ, (ख) हिंसक मृत्यु या हत्या, या (ग) क्रूस पर यीशु की मृत्यु। 'हाथों पर लहू' का अर्थ है हत्या का दोषी।",,
t,नाव,फीका,"kanu (transliterated from canoe) (G);
","नाव, लोगों और माल के परिवहन के लिए इस्तेमाल किए जाने वाले तैरते जल वाहन के लिए एक सामान्य शब्द है। ज़्यादातर नावें लकड़ी से बनी होती हैं। जहाज़ एक बहुत बड़ी नाव होती है। डिंगी एक छोटी नाव होती है जिसे किसी बड़ी नाव में रखा जाता है या किसी बड़े जहाज़ के पीछे खींचा जाता है।",,
t,पुस्तक,पुस्तकें,"paper (G, W);
","पुस्तकें कागज़/चर्मपत्र के पन्ने या पन्ने होते हैं जिन्हें एक किनारे से एक साथ बाँधा जाता है। स्क्रॉल कागज़/जानवर की खाल/पपीरस की एक लंबी शीट के रोल होते हैं जिन्हें पाठकों को खोलना होता है। पुस्तक का अर्थ बाइबल का वह भाग हो सकता है जिसका कोई नाम या शीर्षक हो, जैसे यशायाह की पुस्तक। पुस्तक परमेश्वर की स्मृति का भी प्रतीक है।",,
t,रोटी ,,"that which we eat / our food (tapioca, pancake) (G);
sago (PNG);","रोटी एक प्रकार का भोजन है जो पिसे हुए अनाज से बनता है और सूखने तक पकाया जाता है। इसमें नरम बनाने के लिए खमीर भी हो सकता है। अगर रोटी में खमीर न हो, तो वह सख्त या कुरकुरी हो सकती है। कुछ देशों में रोटी रोज़मर्रा का भोजन है। जैसे कई देशों में लोग रोटी खाए बिना नहीं रह सकते (रोटी उनका मुख्य भोजन है), वैसे ही यीशु को ""जीवन की रोटी"" कहा जाता है।
मन्ना स्वर्ग से आई एक विशेष प्रकार की रोटी थी।",,
t,गंधक,,salfa (K),गंधक ज्वालामुखी से निकले लावा जैसा ज्वलनशील पदार्थ है। परमेश्वर आकाश से धरती पर गंधक गिराता है।,,
t,काँसा ,पीतल,"redish metal (hard rock) (G);
","काँसा और पीतल कठोर, चमकदार धातुएँ हैं जो ताँबा, जस्ता और टिन के मिश्रण से बनती हैं। बाइबल के ज़माने में, कुछ औज़ार, हथियार और आभूषण काँसे या पीतल से बनाए जाते थे।",,
t,निर्माण ,निर्माण करने वाला ,make (G);,"किसी चीज़ का निर्माण करने का मतलब है उसे बड़ा या बेहतर बनाना। घर बनाने का मतलब है, टुकड़े-टुकड़े करके नया घर बनाना। लोगों का निर्माण या उन्हें शिक्षित करने का मतलब है उन्हें मज़बूत बनाना।",,
t,ऊँट ,ऊँटों ,"kamel-animal; kamel (K); gimel (W from Arabic)
",ऊँट घोड़ों और गधों से ऊँचे होते हैं। लोग ऊँट पर सवारी कर सकते हैं। ऊँट बोझ भी ढोते हैं। ऊँट के बालों से खुरदुरा कपड़ा बनता है।,,
t,कार्नेलियन,,jewel; konilian (K)' precious stone (W),"कार्नेलियन एक प्रकार का दुर्लभ, लाल रंग का पत्थर है।",,
t,खोदना,"खोदना, खोदनेवाला ","cut-cut wood carefully to make something (G);
",किसी चीज़ को तराशने का मतलब है उसे किसी और चीज़ के रूप में औज़ारों से काटना। लोग पत्थर या लकड़ी से मूर्तियाँ तराशते हैं।,,
t,सेनापति ,सेनापति ,"chief of soldiers (G); battle leader (W)
","सेनापति एक रोमन सैन्य अधिकारी होता था जो 100 सैनिकों तक की कमान संभालता था। कुछ भाषाओं में सेंट या सेंचुरी का अर्थ ""100"" होता है।",,
t,जंजीरों ,ज़ंजीरें ,tied up (G);,ज़ंजीरें मज़बूत धातु के गोलों से बनी रस्सी की तरह होती हैं जो आपस में जुड़ी होती हैं। (कभी-कभी ज़ंजीरों का इस्तेमाल अपराधियों और भूत-प्रेतों जैसे खतरनाक लोगों को बाँधने या नियंत्रित करने के लिए किया जाता था),,
t,रथ,रथों ,"chariot (transliterated) (G);
",रथ तेज़ गति से चलने वाले दो पहियों वाले वाहन होते हैं जिन्हें घोड़े खींचते हैं। राजा और महत्वपूर्ण अधिकारी रथों में यात्रा करते थे।,,
t,करूब ,करूबे,,"करूब दो प्रकार के होते हैं: (1) पंख वाली मूर्तियाँ, जैसे वाचा के सन्दूक के ऊपर। (2) आत्माएँ जो स्वर्ग में परमेश्वर के सिंहासन की रक्षा करती हैं।",,
t,मसीह,"अभिषिक्त, मसीहा",al-Masih (W),"मसीह कोई नाम नहीं है, मसीह एक उपाधि है जिसका अर्थ है अभिषिक्त। पुराने नियम में, इस्राएली किसी नए राजा या भविष्यवक्ता का वनस्पति तेल से अभिषेक करते थे। नए नियम में, परमेश्वर ने यीशु का अपनी पवित्र आत्मा से अभिषेक किया। हालाँकि, ईसाई लोग मसीह शब्द का प्रयोग बिना किसी अनुवाद के एक नाम के रूप में करते हैं। कुछ आयतों में 'मसीह' का अनुवाद 'वह राजा जिसके आने का परमेश्वर ने वादा किया था कि वह एक दिन आएगा' के रूप में किया जा सकता है।",,
t,"ईसाई, मसीही ","मसीही, विश्वासी ","group of those who believe (Jesus);
Christ-followers; Christ’s one (R)
those who follow al-Masih (W)","ईसाई का शाब्दिक अर्थ है ""छोटा मसीह"", या ""मसीह का अनुयायी"", वे जो मसीह के उदाहरण और शिक्षाओं का पालन करते हैं।
बाइबल ईसाइयों का कई तरह से वर्णन करती है। वे हैं 'संत' = पवित्र लोग, जो परमेश्वर के हैं; 'विश्वासी' = वे जो यीशु में विश्वास रखते हैं; 'शिष्य' = वे जो यीशु की आज्ञाओं का पालन करते हैं; 'भाई-बहन' = वे जो एक-दूसरे से प्रेम करते हैं; 'चर्च' = वे जो एक साथ आराधना करते हैं",,
t,कलीसिया,कलीसिया,"Gathering of believers (W); people of faith (R); people of worship (K)
","यीशु के अनुयायियों का प्रत्येक समुदाय एक कलीसिया है, और सभी ईसाई कलीसियाएँ मिलकर, पृथ्वी पर और स्वर्ग में, मसीह की कलीसिया बनती हैं। बाइबल कलीसिया को मसीह की देह भी कहती है।",,
t,दालचीनी ,दालचीनी ,sinamon (R); kinamon (K);,दालचीनी एक सुगंधित मसाला है जो एक खास तरह के पेड़ की छाल से बनता है। इसे तेल में मिलाकर राजाओं का अभिषेक करने या शवों को दफ़नाने के लिए इस्तेमाल किया जाता था।,,
t,खतना ,खतना करना ,circle cut; cut around (R);,"लड़के या पुरुष के लिंग पर किया जाने वाला एक अनुष्ठानिक कट। परमेश्वर ने सभी इस्राएली पुरुषों या शिशु बालकों के लिए खतना करने का आदेश दिया था, यह दर्शाने के लिए कि वे परमेश्वर की पुरानी वाचा के प्रति वफ़ादार हैं। नए नियम में, परमेश्वर के साथ संबंध या वफ़ादारी दर्शाने के लिए शारीरिक खतना अब आवश्यक नहीं है। बल्कि, इसका प्रयोग लाक्षणिक रूप से यह समझाने के लिए किया जाता है कि कैसे मसीह ने विश्वासी के शारीरिक (पापी) स्वभाव को काटकर एक नया, धार्मिक स्वभाव प्रदान किया है (कुलुस्सियों 2:11-13; रोमियों 4:11; 1 कुरिन्थियों 7:18)। इसके अलावा, बपतिस्मा अब परमेश्वर की नई वाचा के प्रति हमारी वफ़ादारी का प्रतीक है।",,
t,शहर ,शहरों,"big town (G, W);
","शहर ऐसे कस्बे होते हैं जो सुव्यवस्थित होते हैं; कस्बे ऐसे गाँव होते हैं जिनकी अपनी सरकार होती है; गाँव परिवारों के घरों के समूह होते हैं। बाइबल के ज़माने में, शहर आमतौर पर घरों और इमारतों का सबसे बड़ा समूह होते थे, जिनके चारों ओर अक्सर मज़बूत सुरक्षा पत्थर की दीवार होती थी।",,
t,शुद्ध ,शुद्ध करना ,clear (K); clean (R);,"मूसा के नियम के अनुसार, यहूदियों को परमेश्वर की सेवा करने से पहले अनुष्ठानिक स्नान करना या बलिदान चढ़ाना पड़ता था। लोग मूर्तियों की पूजा करके खुद को अपवित्र या अशुद्ध कर सकते थे। शवों या रक्त के संपर्क में आने से लोग अनुष्ठानिक रूप से अशुद्ध हो सकते थे।
नए नियम के अनुसार, यीशु का रक्त, हम विश्वासियों को, उनमें हमारे विश्वास के माध्यम से, सभी पापों और अशुद्धताओं से शुद्ध करता है। (युवा पुरुषों और महिलाओं को विवाह की प्रतीक्षा करते समय यौन रूप से शुद्ध रहना चाहिए।)",,
t,आज्ञा,"आज्ञा,आज्ञाये ",,"आज्ञा एक ऐसा आदेश है जो एक नेता दूसरों को मानने के लिए देता है। आज्ञा एक ऐसा आदेश है जो स्थायी हो जाता है, जैसे दस आज्ञाएँ और यीशु की आज्ञाएँ।",,
t,उपपत्नी,रखैलों,"one-who-is-like-a-wife (G);
","कुछ धनी पुरुषों ने दो प्रकार की स्त्रियों से विवाह किया था: पत्नियाँ जिनके बच्चों को उत्तराधिकार प्राप्त हो सकता था, और रखैलें जिनके बच्चों को उत्तराधिकार प्राप्त नहीं हो सकता था।",,
t,निंदा ,निंदा किया ,,"निंदा का अर्थ है किसी के विरुद्ध निर्णय सुनाना, कभी-कभी अधिकारियों को दंड देने का आदेश देना। न्यायाधीश अपराधियों की निंदा करते हैं, परमेश्वर उन स्वर्गदूतों और मनुष्यों की निंदा करता है जो पाप करते हैं और पश्चाताप नहीं करते।",,
t, स्वीकार करना ," स्वीकार,  स्वीकार किया ","tell (G); accept (W)
",पाप स्वीकार करना यह कहना है कि परमेश्वर ने किसी चीज़ के बारे में क्या कहा है। पाप स्वीकार करना यह स्वीकार करना है कि हमने कुछ ऐसा किया है जिसकी परमेश्वर ने मनाही की है। मसीह को स्वीकार करना यह कहना है कि हम परमेश्वर की कही बातों पर विश्वास करते हैं।,,
t,देश ,"देश, राष्ट्र, ","earth / land (G); 
",देश एक बहुत विस्तृत भूभाग होता है जहाँ लोग घर बनाते हैं और जहाँ सरकार भी हो सकती है। देश को राष्ट्र भी कहा जा सकता है।,,
t,क्रूस,क्रूस,the wood;  tree cross (K); boards that they cross (W);,"लकड़ी के क्रूस हिंसक अपराधियों को यातना देने और मारने का एक हथियार थे। रोमी लोग किसी व्यक्ति के हाथ-पैरों को लकड़ी के क्रॉस-बीम से बने एक सीधे लकड़ी के खंभे पर कीलों से ठोंक देते थे या बाँध देते थे, फिर उसे मरने के लिए छोड़ देते थे। हमारे पापों के कारण यीशु के क्रूस पर मरने के बाद, परमेश्वर हमें, जो विश्वास करते हैं, क्षमा करते हैं। (यीशु का क्रूस हमें यह भी याद दिलाता है कि हमें उस पर अपने विश्वास के कारण कष्ट सहना पड़ सकता है।)",,
t,शाप ,शाप देना ,"say really bad things to/about (G);speak bad about (R); (strong) anger of God (R); cause harm; punish;
","शाप देना किसी दूसरे के प्रति बुराई व्यक्त करना/बात करना है। परमेश्वर ने उन सभी को शाप दिया है जो बुराई करने का चुनाव करते हैं।  परमेश्वर ने निर्दोष यीशु को भी शाप दिया, ताकि वह हमें क्षमा कर सके और  परमेश्वर  के शाप को रद्द कर सके।",,
t,पर्दे ,,,"पर्दे बड़े कपड़े होते हैं, जो ऊपरी किनारे से लटके होते हैं, जो खिड़कियों को ढकते हैं, दरवाजों को बंद करते हैं, या घर में कमरों को विभाजित करते हैं।",,
t,मृत्यु ,"मरना, मृत्यु, मराहुआ ",,"मृत्यु के कई प्रकार हैं: (1) शारीरिक मृत्यु, जब हमारी आत्मा हमारे शरीर को छोड़ देती है, (2) अनन्त मृत्यु, जिसे 'दूसरी मृत्यु' कहा जाता है, जिसमें स्वर्ग के स्थान पर हमेशा के लिए नरक जाना होता है, (3) आत्मिक मृत्यु, जिसमें परमेश्वर का जीवन और पवित्र आत्मा नहीं होता है, (क्योंकि आदम ने पाप किया था, हम सभी आत्मिक रूप से मृत पैदा हुए थे और हमें 'नये सिरे से जन्म लेने' की आवश्यकता है।) और (4) गलत काम करने से इनकार करना, जिसे परमेश्वर के पवित्र आत्मा की सहायता से 'स्वयं के लिए मरना' कहा जाता है।",,
t,राजाज्ञा ,राजाज्ञा ,,राजाज्ञा एक औपचारिक कानून है जिसे राजा घोषित करता है। सभी को अपने राजा के आदेशों का पालन करना होता है।,,
t,दुष्टात्मा,"दुष्ट आत्मा, राक्षस, दुष्ट आत्माएँ, शैतान, राक्षसी","spirit rebellious to God; 
evil creature (W);
bad spirit (G);demon (R);","दुष्टात्माएँ वे आत्माएँ हैं जिन्होंने अपने सृष्टिकर्ता परमेश्वर के विरुद्ध विद्रोह किया है। वे उन मनुष्यों में निवास कर सकती हैं और उन पर अपनी शक्ति का प्रयोग कर सकती हैं जो परमेश्वर की आज्ञा नहीं मानते, अन्य देवताओं की सेवा करते हैं, या जो बुरे काम करने का चुनाव करते हैं। शैतान मुख्य दुष्टात्मा है। यीशु ने अपने अनुयायियों को दुष्टात्माओं/दुष्टात्माओं को निकालने की शक्ति दी है।",,
t,शिष्य,शिष्यों,"learner; student (lit. child of learning) (R); 
ones in training (apprentice);
ones I (Jesus) teach (G);
student (but not like in a classroom);
Christian;
ones who follow /obey Jesus; ","शिष्य वे होते हैं जो गुरु के निर्देशों का पालन करते हैं। यीशु के कई शिष्य थे। उसने अपने शिष्यों को आज्ञा दी कि वे हर देश में जाकर दूसरों को यीशु का शिष्य बनाएँ, उन्हें बपतिस्मा दें और उनकी आज्ञाओं का पालन करना सिखाएँ।",,
t,गधा ,गधे,"horse-pig/animal; dongki (R)
small horse; pack-animal (W); animal (called) donki",गधे छोटे घोड़ों जैसे जानवर हैं जिन पर लोग सवारी कर सकते हैं। गधे बोझ ढोते भी हैं और हल भी खींचते हैं।,,
t,संदेह ,विश्वास न करना,"believe weakly (G); waver (W);
","संदेह का अर्थ है किसी चीज़ के बारे में निश्चित न होना, या किसी ऐसी बात पर विश्वास न करना जो सच न लगे। परमेश्वर के वादों पर संदेह करने का अर्थ है उसकी कही या प्रकट की गई बातों पर विश्वास न करना। संदेह करने का अर्थ है किसी चीज़ की सच्चाई या विश्वसनीयता के बारे में शंकालु या संशयी होना।",,
t,अजगर,अजगर,large lizard; big snake (K); draagon (R);,"ड्रैगन [ रखक्षस,अजगर ]विशालकाय साँप या छिपकलियाँ होती हैं। परमेश्वर के शत्रु शैतान को ड्रैगन इसलिए कहा जाता है क्योंकि वह शक्तिशाली, भयावह, विनाशकारी और दुष्ट है। शैतान ने अजगर (साँप) का रूप तब धारण किया जब उसने पहले मनुष्यों को परमेश्वर की आज्ञा तोड़ने के लिए गुमराह किया। प्रकाशितवाक्य की पुस्तक में अजगर को शैतान के प्रतीक या चित्र के रूप में इस्तेमाल किया गया है।",,
t,सपना ,सपने ,"dream (G);
",सपने वे होते हैं जो व्यक्ति सोते समय देखता और सुनता है। परमेश्वर  या देवदूत कभी-कभी सपनों में लोगों से बात करते थे। परमेश्वर ने यूसुफ और दानिय्येल को कुछ ऐसे सपनों का अर्थ बताने की अनुमति दी जो देखने वालों के लिए रहस्यमय थे।,,
t,पृथ्वी ,,"land;
this ground;
ground (G);","पृथ्वी का अर्थ है (1) वह भूमि या ज़मीन जिस पर हम मनुष्य रहते हैं, (2) आकाश के नीचे की हर चीज़, (3) धूल या मिट्टी, और (4) मृतकों का भूमिगत निवास।",,
t,प्राचीन ,प्राचीन ,"older men (G); leaders (W)
","प्राचीन वे वृद्ध लोग होते हैं जिनका दूसरे लोग आदर करते हैं और जिनकी आज्ञा मानते हैं। प्राचीन अक्सर एक परिषद के रूप में मिलते हैं जो महत्वपूर्ण मामलों पर निर्णय लेती है। कलीसियाओं में ऐसे प्राचीन होते हैं जिन्हें ओवरसियर और सेवक, या पादरी और डीकन कहा जाता है।",,
t,सम्राट ,सम्राटों,,"सम्राट किसी साम्राज्य का राजा या सर्वोच्च शासक होता था, जो छोटे राजाओं पर शासन करता था। कुछ देश अपने सम्राट को परमेश्वर या देवता मानते हैं।",,
t,साम्राज्य ,राज्य ,"all divisions of his land (G); 
","एक साम्राज्य कई शहरों, राज्यों और/या राष्ट्रों का एक विशाल समूह होता है जिस पर एक सर्वोच्च शासक (सम्राट) का अधिकार होता है। बाइबल के समय में बाबुल, असीरिया और रोम साम्राज्यों के उदाहरण थे।",,
t,नपुंसक ,नपुंसकों ,"castrated; man (R); 
unmarried man, caused to be that way (G); 
chamberlain (W);","नपुंसक वह व्यक्ति होता था जिसका बधियाकरण/नपुंसकीकरण कर दिया गया हो। मूर्तिपूजक राष्ट्र कभी-कभी दासों या किसी खास काम, जैसे सरकारी नौकरी, के लिए प्रशिक्षित किए जाने वाले लोगों पर इस तरह का अंग-भंग करते थे। यह यहूदियों का रिवाज नहीं था क्योंकि ईश्वर का कानून पुरुषों को नपुंसक बनाने की मनाही करता है।",,
t,बुरा ,"दुष्ट, पापी, दुष्टता",,बुरी चीजें वे सभी चीजें हैं जिन्हें परमेश्वर मना करता है; बुरे लोग वे हैं जो परमेश्वर के नियमों का उल्लंघन करते हैं; बुरी आत्माएं अदृश्य प्राणी हैं जो लोगों को बुरे के बारे में सोचने और बुरे कार्य करने के लिए प्रेरित करती हैं।,,
t,विश्वास ,"विश्वास, भरोसा","saying yes (to someone or something; agreeing; accepting; trusting as true);
trust; belief (R); belief (W); heart/liver (inner being) hangs on something (PNG)","विश्वास का अर्थ है (1) सत्य पर विश्वास करना, (2) परमेश्वर या मसीह पर भरोसा रखना, और (3) यीशु के प्रति वफ़ादार रहना। पुरानी और नई दोनों वाचाओं (नियमों) के तहत, परमेश्वर उन लोगों को धर्मी मानता है जो उस पर और उसकी प्रतिज्ञाओं पर विश्वास करते हैं।",,
t,उपवास ,,fast (R); ,"उपवास का अर्थ है कुछ समय तक कुछ न खाना। यहूदी लोग पश्चाताप, दुःख या परमेश्वर के प्रति विनम्रता के प्रतीक के रूप में उपवास करते थे। ईसाई कभी-कभी ईश्वर से प्रार्थना के रूप में उपवास करते हैं।",,
t,दावत ,"दावत, भोज ","a magnification (W);  remember (W); 
big meal / food; big day of worship (K); feast (R); 
big dance (festival) / big eating (feast) (G);
","दावतें खास दावतें होती हैं जिनमें ढेर सारा स्वादिष्ट खाना और पेय शामिल होता है। आमतौर पर, दावत किसी खास मौके पर परोसी जाती है। इस्राएलियों के लिए दावतें सालाना उत्सव के तौर पर होती थीं, जब परिवार परमेश्वर की भलाई को याद करने के लिए इकट्ठा होते थे। इस्राएलियों को यरूशलेम में कुछ खास दावतें मनानी पड़ती थीं।",,
t,समर्पण का पर्व,"हनुक्का, रोशनी का पर्व","purification (W); feast when they remembered the day when they opened the house of giving (R); 
a big day of worship so that they would remember the day when they opened the house of giving (K)
","येशु मसीह से 165 वर्ष पूर्व, इस्राएलियों (यहूदियों) ने अपने मंदिर को अपने शत्रुओं से वापस ले लिया और उसे पुनः परमेश्वर  को समर्पित कर दिया। यहूदी इस वार्षिक उत्सव को हन्नुक्का और ""प्रकाशोत्सव"" कहते हैं।",,
t,पिन्तेकुस्त का पर्व,पिन्तेकुस्त ,day of Pentikos (R); ,"पिन्तेकुस्त का अर्थ है पचास। यह फसल उत्सव मई के महीने में, वार्षिक फसह पर्व के 50 दिन बाद आता है। पिन्तेकुस्त के दिन, सन् 33 में, पवित्र आत्मा पहली बार उन सभी पर उतरा जो यीशु में विश्वास करते थे।",,
t,आश्रयों का पर्व,"झोपड़ियों का पर्व, तंबुओं का पर्व",day of worship of the Jews which they call the feast of shelters (R); big days of worship of shelters (K); big day for worship called feast of tents,"अक्टूबर या नवंबर में हर साल मनाए जाने वाले आश्रय-पर्व पर, यहूदी लोग फसल कटने पर खुशी मनाते हैं। वे अपने पूर्वजों के सम्मान में एक हफ़्ते तक अस्थायी आश्रयों में रहते हैं, जिन्होंने जंगल में भटकते हुए चालीस साल आश्रयों में बिताए थे।",,
